rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
158,frame_0306.jpg,122.4,0.5058,0.6906,0.375,0.24,6,3,False,False
159,frame_0279.jpg,111.6,0.5054,0.5668,0.5,0.36,6,4,False,False
160,frame_0206.jpg,82.4,0.5027,0.4763,0.375,0.76,6,3,False,False
161,frame_0005.jpg,2.0,0.5018,0.4536,0.25,1.0,8,2,False,False
162,frame_0305.jpg,122.0,0.4995,0.6621,0.375,0.28,5,3,False,False
163,frame_0026.jpg,10.4,0.4983,0.3716,0.375,1.0,5,3,False,False
164,frame_0092.jpg,36.8,0.4979,0.5839,0.5,0.28,6,4,False,False
165,frame_0319.jpg,127.6,0.4969,0.6568,0.375,0.28,10,3,False,False
166,frame_0394.jpg,157.6,0.4963,0.6607,0.5,0.08,9,4,False,False
167,frame_0370.jpg,148.0,0.4929,0.5948,0.625,0.04,10,5,False,False
168,frame_0284.jpg,113.6,0.4923,0.6856,0.125,0.56,6,1,False,False
169,frame_0387.jpg,154.8,0.4908,0.6765,0.375,0.2,12,3,False,False
170,frame_0327.jpg,130.8,0.4878,0.7345,0.375,0.04,15,3,False,False
171,frame_0294.jpg,117.6,0.4868,0.5355,0.25,0.72,5,2,False,False
172,frame_0023.jpg,9.2,0.4854,0.3458,0.375,1.0,5,3,False,False
173,frame_0230.jpg,92.0,0.4834,0.6187,0.5,0.12,11,4,False,False
174,frame_0300.jpg,120.0,0.4828,0.6235,0.25,0.48,6,2,False,False
175,frame_0098.jpg,39.2,0.4824,0.5739,0.625,0.04,7,5,False,False
176,frame_0171.jpg,68.4,0.4811,0.4862,0.5,0.44,6,4,False,False
177,frame_0267.jpg,106.8,0.4803,0.6126,0.5,0.12,6,4,False,False
178,frame_0088.jpg,35.2,0.4792,0.4824,0.5,0.44,9,4,False,False
179,frame_0393.jpg,157.2,0.4782,0.6404,0.5,0.04,6,4,False,False
180,frame_0383.jpg,153.2,0.4764,0.6048,0.5,0.12,6,4,False,False
181,frame_0010.jpg,4.0,0.4756,0.4761,0.125,1.0,4,1,False,False
182,frame_0208.jpg,83.2,0.4714,0.4137,0.375,0.76,6,3,False,False
183,frame_0020.jpg,8.0,0.4695,0.3889,0.25,1.0,5,2,False,False
184,frame_0223.jpg,89.2,0.4693,0.5745,0.5,0.16,9,4,False,False
185,frame_0200.jpg,80.0,0.469,0.5801,0.25,0.52,3,2,False,False
186,frame_0330.jpg,132.0,0.4684,0.6958,0.375,0.04,11,3,False,False
187,frame_0180.jpg,72.0,0.4665,0.4509,0.75,0.08,8,6,False,False
188,frame_0399.jpg,159.6,0.4663,0.5956,0.375,0.28,9,3,False,False
189,frame_0112.jpg,44.8,0.4657,0.6263,0.375,0.2,5,3,False,False
190,frame_0320.jpg,128.0,0.4657,0.6104,0.375,0.24,7,3,False,False
191,frame_0106.jpg,42.4,0.4639,0.6868,0.375,0.04,8,3,False,False
192,frame_0084.jpg,33.6,0.4629,0.5358,0.25,0.6,4,2,False,False
193,frame_0121.jpg,48.4,0.4627,0.4764,0.375,0.56,5,3,False,False
194,frame_0281.jpg,112.4,0.4625,0.524,0.375,0.44,6,3,False,False
195,frame_0280.jpg,112.0,0.4593,0.6086,0.25,0.4,6,2,False,False
196,frame_0215.jpg,86.0,0.4558,0.4197,0.5,0.48,5,4,False,False
197,frame_0384.jpg,153.6,0.4553,0.6216,0.375,0.16,7,3,False,False
198,frame_0097.jpg,38.8,0.4524,0.6477,0.375,0.08,8,3,False,False
199,frame_0210.jpg,84.0,0.452,0.407,0.375,0.68,5,3,False,False
200,frame_0273.jpg,109.2,0.4499,0.5518,0.5,0.12,8,4,False,False
201,frame_0025.jpg,10.0,0.4489,0.4227,0.125,1.0,6,1,False,False
202,frame_0371.jpg,148.4,0.4478,0.5637,0.5,0.08,8,4,False,False
203,frame_0282.jpg,112.8,0.4462,0.4754,0.375,0.48,6,3,False,False
204,frame_0091.jpg,36.4,0.4439,0.5348,0.375,0.32,7,3,False,False
205,frame_0274.jpg,109.6,0.4413,0.5935,0.375,0.16,7,3,False,False
206,frame_0209.jpg,83.6,0.441,0.594,0.0,0.72,3,0,False,False
207,frame_0222.jpg,88.8,0.441,0.5771,0.375,0.2,6,3,False,False
208,frame_0205.jpg,82.0,0.4388,0.4396,0.25,0.72,5,2,False,False
209,frame_0101.jpg,40.4,0.4351,0.5381,0.5,0.08,6,4,False,False
210,frame_0201.jpg,80.4,0.4284,0.4827,0.25,0.56,3,2,False,False
211,frame_0192.jpg,76.8,0.4277,0.6255,0.25,0.2,4,2,False,False
212,frame_0204.jpg,81.6,0.4243,0.4265,0.25,0.68,5,2,False,False
213,frame_0211.jpg,84.4,0.4219,0.4378,0.25,0.64,4,2,False,False
214,frame_0018.jpg,7.2,0.4187,0.3624,0.125,1.0,6,1,False,False
215,frame_0295.jpg,118.0,0.4187,0.4154,0.25,0.68,6,2,False,False
216,frame_0173.jpg,69.2,0.4182,0.6174,0.125,0.36,6,1,False,False
217,frame_0322.jpg,128.8,0.4175,0.6211,0.25,0.16,8,2,False,False
218,frame_0216.jpg,86.4,0.4169,0.5828,0.125,0.44,5,1,False,False
219,frame_0183.jpg,73.2,0.4167,0.6673,0.25,0.04,5,2,False,False
220,frame_0213.jpg,85.2,0.4089,0.4437,0.25,0.56,4,2,False,False
221,frame_0221.jpg,88.4,0.4088,0.4966,0.375,0.24,8,3,False,False
222,frame_0372.jpg,148.8,0.4042,0.4604,0.5,0.12,10,4,False,False
223,frame_0385.jpg,154.0,0.4024,0.5749,0.25,0.2,11,2,False,False
224,frame_0174.jpg,69.6,0.4008,0.5987,0.125,0.32,6,1,False,False
225,frame_0212.jpg,84.8,0.3998,0.4096,0.25,0.6,6,2,False,False
226,frame_0181.jpg,72.4,0.3989,0.5569,0.375,0.04,6,3,False,False
227,frame_0219.jpg,87.6,0.3982,0.4433,0.375,0.32,5,3,False,False
228,frame_0019.jpg,7.6,0.3842,0.2935,0.125,1.0,4,1,False,False
229,frame_0391.jpg,156.4,0.3833,0.4506,0.5,0.04,10,4,False,False
230,frame_0218.jpg,87.2,0.3831,0.4722,0.25,0.36,6,2,False,False
231,frame_0269.jpg,107.6,0.3785,0.591,0.25,0.04,8,2,False,False
232,frame_0104.jpg,41.6,0.3753,0.4776,0.375,0.12,7,3,False,False
233,frame_0296.jpg,118.4,0.3744,0.4177,0.125,0.64,6,1,False,False
234,frame_0310.jpg,124.0,0.371,0.4851,0.375,0.08,6,3,False,False
235,frame_0199.jpg,79.6,0.37,0.398,0.25,0.48,3,2,False,False
236,frame_0214.jpg,85.6,0.3669,0.3758,0.25,0.52,5,2,False,False
237,frame_0102.jpg,40.8,0.3637,0.4544,0.375,0.12,5,3,False,False
238,frame_0275.jpg,110.0,0.3628,0.5705,0.125,0.2,6,1,False,False
239,frame_0224.jpg,89.6,0.3574,0.5168,0.25,0.12,6,2,False,False
240,frame_0197.jpg,78.8,0.3531,0.4712,0.125,0.4,2,1,False,False
241,frame_0195.jpg,78.0,0.3493,0.3457,0.375,0.32,4,3,False,False
242,frame_0220.jpg,88.0,0.3463,0.4307,0.25,0.28,6,2,False,False
243,frame_0110.jpg,44.0,0.3399,0.4069,0.375,0.12,7,3,False,False
244,frame_0191.jpg,76.4,0.337,0.385,0.375,0.16,9,3,False,False
245,frame_0198.jpg,79.2,0.3234,0.3957,0.125,0.44,3,1,False,False
246,frame_0087.jpg,34.8,0.3129,0.4338,0.0,0.48,6,0,False,False
247,frame_0111.jpg,44.4,0.3105,0.4821,0.125,0.16,6,1,False,False
248,frame_0194.jpg,77.6,0.292,0.322,0.25,0.28,6,2,False,False
249,frame_0272.jpg,108.8,0.2894,0.4719,0.125,0.08,9,1,False,False
250,frame_0217.jpg,86.8,0.2886,0.3421,0.125,0.4,6,1,False,False
251,frame_0196.jpg,78.4,0.2662,0.3885,0.0,0.36,3,0,False,False
252,frame_0271.jpg,108.4,0.2648,0.4387,0.125,0.04,6,1,False,False
253,frame_0226.jpg,90.4,0.2431,0.4702,0.0,0.04,5,0,False,False
254,frame_0190.jpg,76.0,0.2403,0.2826,0.25,0.12,6,2,False,False
255,frame_0311.jpg,124.4,0.2271,0.3632,0.125,0.04,5,1,False,False
256,frame_0313.jpg,125.2,0.2195,0.348,0.125,0.04,6,1,False,False
